_id,co_mun,no_mun,ano,variavel,ensino_rede,ensino_tipo,valor
65,2700102,Água Branca,2009,Taxa de Abandono,Privada,Ensino Fundamental,0.0
66,2700102,Água Branca,2009,Taxa de Abandono,Privada,Ensino Médio,0.0
67,2700102,Água Branca,2009,Taxa de Abandono,Pública,Ensino Fundamental,2.9
68,2700102,Água Branca,2009,Taxa de Abandono,Pública,Ensino Médio,26.9
69,2700102,Água Branca,2009,Taxa de Abandono,Total,Ensino Fundamental,2.9
70,2700102,Água Branca,2009,Taxa de Abandono,Total,Ensino Médio,26.9
71,2700102,Água Branca,2009,Taxa de Aprovação,Estadual,Ensino Fundamental,39.3
72,2700102,Água Branca,2009,Taxa de Aprovação,Estadual,Ensino Médio,58.9
73,2700102,Água Branca,2009,Taxa de Aprovação,Municipal,Ensino Fundamental,96.4
74,2700102,Água Branca,2009,Taxa de Aprovação,Municipal,Ensino Médio,0.0
75,2700102,Água Branca,2009,Taxa de Aprovação,Privada,Ensino Fundamental,0.0
76,2700102,Água Branca,2009,Taxa de Aprovação,Privada,Ensino Médio,0.0
77,2700102,Água Branca,2009,Taxa de Aprovação,Pública,Ensino Fundamental,93.1
78,2700102,Água Branca,2009,Taxa de Aprovação,Pública,Ensino Médio,58.9
79,2700102,Água Branca,2009,Taxa de Aprovação,Total,Ensino Fundamental,93.1
80,2700102,Água Branca,2009,Taxa de Aprovação,Total,Ensino Médio,58.9
81,2700102,Água Branca,2009,Taxa de Reprovação,Estadual,Ensino Fundamental,35.7
82,2700102,Água Branca,2009,Taxa de Reprovação,Estadual,Ensino Médio,14.2
83,2700102,Água Branca,2009,Taxa de Reprovação,Municipal,Ensino Fundamental,2.0
84,2700102,Água Branca,2009,Taxa de Reprovação,Municipal,Ensino Médio,0.0
85,2700102,Água Branca,2009,Taxa de Reprovação,Privada,Ensino Fundamental,0.0
86,2700102,Água Branca,2009,Taxa de Reprovação,Privada,Ensino Médio,0.0
87,2700102,Água Branca,2009,Taxa de Reprovação,Pública,Ensino Fundamental,4.0
88,2700102,Água Branca,2009,Taxa de Reprovação,Pública,Ensino Médio,14.2
89,2700102,Água Branca,2009,Taxa de Reprovação,Total,Ensino Fundamental,4.0
90,2700102,Água Branca,2009,Taxa de Reprovação,Total,Ensino Médio,14.2
91,2700102,Água Branca,2010,Taxa de Abandono,Estadual,Ensino Fundamental,0.0
92,2700102,Água Branca,2010,Taxa de Abandono,Estadual,Ensino Médio,25.0
93,2700102,Água Branca,2010,Taxa de Abandono,Municipal,Ensino Fundamental,0.5
94,2700102,Água Branca,2010,Taxa de Abandono,Municipal,Ensino Médio,0.0
95,2700102,Água Branca,2010,Taxa de Abandono,Pública,Ensino Fundamental,0.5
96,2700102,Água Branca,2010,Taxa de Abandono,Pública,Ensino Médio,25.0
97,2700102,Água Branca,2010,Taxa de Abandono,Total,Ensino Fundamental,0.5
98,2700102,Água Branca,2010,Taxa de Abandono,Total,Ensino Médio,25.0
99,2700102,Água Branca,2010,Taxa de Aprovação,Estadual,Ensino Fundamental,94.1
100,2700102,Água Branca,2010,Taxa de Aprovação,Estadual,Ensino Médio,69.0
101,2700102,Água Branca,2010,Taxa de Aprovação,Municipal,Ensino Fundamental,92.8
102,2700102,Água Branca,2010,Taxa de Aprovação,Municipal,Ensino Médio,0.0
103,2700102,Água Branca,2010,Taxa de Aprovação,Pública,Ensino Fundamental,92.8
104,2700102,Água Branca,2010,Taxa de Aprovação,Pública,Ensino Médio,69.0
105,2700102,Água Branca,2010,Taxa de Aprovação,Total,Ensino Fundamental,92.8
106,2700102,Água Branca,2010,Taxa de Aprovação,Total,Ensino Médio,69.0
107,2700102,Água Branca,2010,Taxa de Reprovação,Estadual,Ensino Fundamental,5.9
108,2700102,Água Branca,2010,Taxa de Reprovação,Estadual,Ensino Médio,6.0
109,2700102,Água Branca,2010,Taxa de Reprovação,Municipal,Ensino Fundamental,6.7
110,2700102,Água Branca,2010,Taxa de Reprovação,Municipal,Ensino Médio,0.0
111,2700102,Água Branca,2010,Taxa de Reprovação,Pública,Ensino Fundamental,6.7
112,2700102,Água Branca,2010,Taxa de Reprovação,Pública,Ensino Médio,6.0
113,2700102,Água Branca,2010,Taxa de Reprovação,Total,Ensino Fundamental,6.7
114,2700102,Água Branca,2010,Taxa de Reprovação,Total,Ensino Médio,6.0
115,2700102,Água Branca,2011,Taxa de Abandono,Estadual,Ensino Fundamental,17.2
116,2700102,Água Branca,2011,Taxa de Abandono,Estadual,Ensino Médio,20.1
117,2700102,Água Branca,2011,Taxa de Abandono,Municipal,Ensino Fundamental,4.0
118,2700102,Água Branca,2011,Taxa de Abandono,Municipal,Ensino Médio,0.0
119,2700102,Água Branca,2011,Taxa de Abandono,Pública,Ensino Fundamental,6.0
120,2700102,Água Branca,2011,Taxa de Abandono,Pública,Ensino Médio,20.1
121,2700102,Água Branca,2011,Taxa de Abandono,Total,Ensino Fundamental,6.0
122,2700102,Água Branca,2011,Taxa de Abandono,Total,Ensino Médio,20.1
123,2700102,Água Branca,2011,Taxa de Aprovação,Estadual,Ensino Fundamental,61.8
124,2700102,Água Branca,2011,Taxa de Aprovação,Estadual,Ensino Médio,70.2
125,2700102,Água Branca,2011,Taxa de Aprovação,Municipal,Ensino Fundamental,69.6
126,2700102,Água Branca,2011,Taxa de Aprovação,Municipal,Ensino Médio,0.0
127,2700102,Água Branca,2011,Taxa de Aprovação,Pública,Ensino Fundamental,68.4
128,2700102,Água Branca,2011,Taxa de Aprovação,Pública,Ensino Médio,70.2
129,2700102,Água Branca,2011,Taxa de Aprovação,Total,Ensino Fundamental,68.4
130,2700102,Água Branca,2011,Taxa de Aprovação,Total,Ensino Médio,70.2
131,2700102,Água Branca,2011,Taxa de Reprovação,Estadual,Ensino Fundamental,21.0
132,2700102,Água Branca,2011,Taxa de Reprovação,Estadual,Ensino Médio,9.7
133,2700102,Água Branca,2011,Taxa de Reprovação,Municipal,Ensino Fundamental,26.4
134,2700102,Água Branca,2011,Taxa de Reprovação,Municipal,Ensino Médio,0.0
135,2700102,Água Branca,2011,Taxa de Reprovação,Pública,Ensino Fundamental,25.6
136,2700102,Água Branca,2011,Taxa de Reprovação,Pública,Ensino Médio,9.7
137,2700102,Água Branca,2011,Taxa de Reprovação,Total,Ensino Fundamental,25.6
138,2700102,Água Branca,2011,Taxa de Reprovação,Total,Ensino Médio,9.7
139,2700102,Água Branca,2012,Taxa de Abandono,Estadual,Ensino Fundamental,15.5
140,2700102,Água Branca,2012,Taxa de Abandono,Estadual,Ensino Médio,16.4
141,2700102,Água Branca,2012,Taxa de Abandono,Municipal,Ensino Fundamental,4.4
142,2700102,Água Branca,2012,Taxa de Abandono,Municipal,Ensino Médio,0.0
143,2700102,Água Branca,2012,Taxa de Abandono,Pública,Ensino Fundamental,5.7
144,2700102,Água Branca,2012,Taxa de Abandono,Pública,Ensino Médio,16.4
145,2700102,Água Branca,2012,Taxa de Abandono,Total,Ensino Fundamental,5.7
146,2700102,Água Branca,2012,Taxa de Abandono,Total,Ensino Médio,16.4
147,2700102,Água Branca,2012,Taxa de Aprovação,Estadual,Ensino Fundamental,68.3
148,2700102,Água Branca,2012,Taxa de Aprovação,Estadual,Ensino Médio,77.2
149,2700102,Água Branca,2012,Taxa de Aprovação,Municipal,Ensino Fundamental,72.2
150,2700102,Água Branca,2012,Taxa de Aprovação,Municipal,Ensino Médio,0.0
151,2700102,Água Branca,2012,Taxa de Aprovação,Pública,Ensino Fundamental,71.7
152,2700102,Água Branca,2012,Taxa de Aprovação,Pública,Ensino Médio,77.2
153,2700102,Água Branca,2012,Taxa de Aprovação,Total,Ensino Fundamental,71.7
154,2700102,Água Branca,2012,Taxa de Aprovação,Total,Ensino Médio,77.2
155,2700102,Água Branca,2012,Taxa de Reprovação,Estadual,Ensino Fundamental,16.2
156,2700102,Água Branca,2012,Taxa de Reprovação,Estadual,Ensino Médio,6.4
157,2700102,Água Branca,2012,Taxa de Reprovação,Municipal,Ensino Fundamental,23.4
158,2700102,Água Branca,2012,Taxa de Reprovação,Municipal,Ensino Médio,0.0
159,2700102,Água Branca,2012,Taxa de Reprovação,Pública,Ensino Fundamental,22.6
