CAMPUS;CURSO/TURNO/INTEGRADO;Turno;Código;VAGAS 2024.1;INSCRITOS 2024.1;VAGAS 2023.1;INSCRITOS 2023.1;VAGAS 2022.2;INSCRITOS;VAGAS 2022.1;INSCRITOS;VAGAS 2020.1;VAGAS 2019.1;VAGAS 2018.1;VAGAS 2017.1;VAGAS 2016.1;VAGAS 2015.1;ISENTOS 2020.1;ISENTOS 2019.1;ISENTOS 2018.1;ISENTOS 2017.1;ISENTOS 2016.1;ISENTOS 2015.1;PAGOS 2020.1;PAGOS 2019.1;PAGOS 2018.1;PAGOS 2017.1;PAGOS 2016.1;PAGOS 2015.1;REMANESCENTES 2020.1;REMANESCENTES 2019.1;REMANESCENTES 2018.1;REMANESCENTES 2017.1;REMANESCENTES 2016.1;REMANESCENTES 2015.1;TOTAL 2020.1;TOTAL 2019.1;TOTAL 2018.1;TOTAL 2017.1;TOTAL 2016.1;TOTAL 2015.1
CAMPUS MACEIÓ;Eletrotécnica;Vespertino;1010322;72;139;36;65;;;36;27;36;72;72;36;36;36;27;45;46;21;6;1;68;105;136;52;120;150;---;---;---;---;---;---;95;150;182;73;126;151
CAMPUS MACEIÓ;Eletrotécnica;Matutino;1010321;36;237;36;86;;;36;87;72;36;36;72;36;36;104;55;31;28;13;4;242;182;111;292;202;210;---;---;---;---;---;---;346;237;142;320;215;214
CAMPUS MACEIÓ;Eletrônica ;Vespertino;1010312;36;70;72;238;;;36;56;72;72;72;72;36;36;34;52;20;18;6;2;169;141;126;148;106;144;---;---;---;---;---;---;203;193;146;166;112;146
CAMPUS MACEIÓ;Eletrônica;Matutino;1010311;72;292;36;157;;;36;104;36;36;36;36;36;36;45;35;47;8;10;2;116;85;114;123;162;165;---;---;---;---;---;---;161;120;161;131;172;167
CAMPUS MACEIÓ;Artesanato;Matutino;1011011;0;0;30;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAMPUS MARAGOGI;Hospedagem;Vespertino;1060512;36;55;36;72;;;36;44;36;36;36;36;36;36;80;139;109;126;172;97;37;26;20;31;25;64;---;---;---;---;---;---;117;165;129;157;197;161
CAMPUS MARAGOGI;Hospedagem;Matutino;1060511;36;150;36;165;;;36;150;36;36;36;36;36;36;229;249;282;246;295;131;57;59;45;57;49;132;---;---;---;---;---;---;286;308;327;303;344;263
CAMPUS MARAGOGI;Agroecologia;Vespertino;1061212;36;47;36;40;;;36;29;36;36;36;36;36;36;41;64;31;76;92;56;16;9;23;14;8;39;---;---;---;---;---;---;57;73;54;90;100;95
CAMPUS MARAGOGI;Agroecologia;Matutino;1061211;36;101;36;145;;;36;73;36;36;36;36;36;36;76;115;141;122;123;95;27;36;25;40;32;105;---;---;---;---;---;---;103;151;166;162;155;200
CAMPUS MARAGOGI;Serviços de Bar e Restaurante;Noturno;1060513;40;17;40;43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
