co_mun,no_mun,ano,variavel,economia_categoria,economia_subcategoria,valor
2700102,Água Branca,2011.0,Valor adicionado bruto a preços correntes da indústria ,Preço correntes da indústria,Mil Reais,45395.0
2700102,Água Branca,2011.0,Valor adicionado bruto a preços correntes de Serviço ,Preço correntes de Serviço,Mil Reais,70293.0
2700102,Água Branca,2011.0,Valor adicionado bruto a preços correntes total ,Preço correntes total,Mil Reais,122490.0
2700102,Água Branca,2012.0,Produto Interno Bruto a preços correntes ,Preço correntes,Mil Reais,131486.0
2700102,Água Branca,2012.0,Valor adicionado bruto a preços correntes da agropecuária ,Preço correntes da agropecuária,Mil Reais,4485.0
2700102,Água Branca,2012.0,Valor adicionado bruto a preços correntes da indústria ,Preço correntes da indústria,Mil Reais,37884.0
2700102,Água Branca,2012.0,Valor adicionado bruto a preços correntes de Serviço ,Preço correntes de Serviço,Mil Reais,81236.0
2700102,Água Branca,2012.0,Valor adicionado bruto a preços correntes total ,Preço correntes total,Mil Reais,123604.0
2700102,Água Branca,2013.0,Produto Interno Bruto a preços correntes ,Preço correntes,Mil Reais,106273.0
2700102,Água Branca,2013.0,Valor adicionado bruto a preços correntes da agropecuária ,Preço correntes da agropecuária,Mil Reais,5385.0
2700102,Água Branca,2013.0,Valor adicionado bruto a preços correntes da indústria ,Preço correntes da indústria,Mil Reais,7922.0
2700102,Água Branca,2013.0,Valor adicionado bruto a preços correntes de Serviço ,Preço correntes de Serviço,Mil Reais,87844.0
2700102,Água Branca,2013.0,Valor adicionado bruto a preços correntes total ,Preço correntes total,Mil Reais,101151.0
2700102,Água Branca,2014.0,Produto Interno Bruto a preços correntes ,Preço correntes,Mil Reais,111654.0
2700102,Água Branca,2014.0,Valor adicionado bruto a preços correntes da agropecuária ,Preço correntes da agropecuária,Mil Reais,5721.0
2700102,Água Branca,2014.0,Valor adicionado bruto a preços correntes da indústria ,Preço correntes da indústria,Mil Reais,6008.0
2700102,Água Branca,2014.0,Valor adicionado bruto a preços correntes de Serviço ,Preço correntes de Serviço,Mil Reais,96340.0
2700102,Água Branca,2014.0,Valor adicionado bruto a preços correntes total ,Preço correntes total,Mil Reais,108069.0
2700102,Água Branca,2015.0,Produto Interno Bruto a preços correntes ,Preço correntes,Mil Reais,115971.0
2700102,Água Branca,2015.0,Valor adicionado bruto a preços correntes da agropecuária ,Preço correntes da agropecuária,Mil Reais,6086.0
2700102,Água Branca,2015.0,Valor adicionado bruto a preços correntes da indústria ,Preço correntes da indústria,Mil Reais,5171.0
2700102,Água Branca,2015.0,Valor adicionado bruto a preços correntes de Serviço ,Preço correntes de Serviço,Mil Reais,100599.0
2700102,Água Branca,2015.0,Valor adicionado bruto a preços correntes total ,Preço correntes total,Mil Reais,111856.0
2700102,Água Branca,2016.0,Produto Interno Bruto a preços correntes ,Preço correntes,Mil Reais,126126.0
2700102,Água Branca,2016.0,Valor adicionado bruto a preços correntes da agropecuária ,Preço correntes da agropecuária,Mil Reais,6124.0
2700102,Água Branca,2016.0,Valor adicionado bruto a preços correntes da indústria ,Preço correntes da indústria,Mil Reais,4913.0
