co_mun,no_mun,ano,variavel,inf_categoria,inf_subcategoria,valor
2700102,Água Branca,2014,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Junho,17120
2700102,Água Branca,2014,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Maio,17119
2700102,Água Branca,2014,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Março,17138
2700102,Água Branca,2014,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Novembro,17400
2700102,Água Branca,2014,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Outubro,17384
2700102,Água Branca,2014,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Setembro,17341
2700102,Água Branca,2015,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Abril,4528
2700102,Água Branca,2015,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Agosto,4389
2700102,Água Branca,2015,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Dezembro,4446
2700102,Água Branca,2015,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Fevereiro,4513
2700102,Água Branca,2015,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Janeiro,4515
2700102,Água Branca,2015,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Julho,4385
2700102,Água Branca,2015,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Junho,4528
2700102,Água Branca,2015,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Maio,4531
2700102,Água Branca,2015,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Março,4516
2700102,Água Branca,2015,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Novembro,4416
2700102,Água Branca,2015,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Outubro,4399
2700102,Água Branca,2015,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Setembro,4401
2700102,Água Branca,2015,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Abril,17126
2700102,Água Branca,2015,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Agosto,16631
2700102,Água Branca,2015,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Dezembro,16704
2700102,Água Branca,2015,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Fevereiro,17112
2700102,Água Branca,2015,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Janeiro,17136
2700102,Água Branca,2015,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Julho,16670
2700102,Água Branca,2015,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Junho,17098
2700102,Água Branca,2015,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Maio,17120
2700102,Água Branca,2015,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Março,17113
2700102,Água Branca,2015,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Novembro,16622
2700102,Água Branca,2015,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Outubro,16624
2700102,Água Branca,2015,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Setembro,16633
2700102,Água Branca,2016,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Abril,4368
2700102,Água Branca,2016,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Agosto,4490
2700102,Água Branca,2016,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Dezembro,4220
2700102,Água Branca,2016,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Fevereiro,4249
2700102,Água Branca,2016,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Janeiro,4241
2700102,Água Branca,2016,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Julho,4468
2700102,Água Branca,2016,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Junho,4442
2700102,Água Branca,2016,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Maio,4400
2700102,Água Branca,2016,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Março,4297
2700102,Água Branca,2016,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Novembro,4574
2700102,Água Branca,2016,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Outubro,4543
2700102,Água Branca,2016,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Setembro,4503
2700102,Água Branca,2016,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Abril,16453
2700102,Água Branca,2016,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Agosto,16602
2700102,Água Branca,2016,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Dezembro,15631
2700102,Água Branca,2016,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Fevereiro,16194
2700102,Água Branca,2016,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Janeiro,16186
2700102,Água Branca,2016,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Julho,16629
2700102,Água Branca,2016,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Junho,16571
2700102,Água Branca,2016,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Maio,16530
2700102,Água Branca,2016,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Março,16318
2700102,Água Branca,2016,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Novembro,16681
2700102,Água Branca,2016,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Outubro,16636
2700102,Água Branca,2016,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Setembro,16597
2700102,Água Branca,2017,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Abril,4306
2700102,Água Branca,2017,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Agosto,4398
2700102,Água Branca,2017,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Dezembro,4264
2700102,Água Branca,2017,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Fevereiro,4264
2700102,Água Branca,2017,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Janeiro,4255
2700102,Água Branca,2017,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Julho,4347
2700102,Água Branca,2017,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Junho,4331
2700102,Água Branca,2017,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Maio,4323
2700102,Água Branca,2017,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Março,4293
2700102,Água Branca,2017,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Novembro,4220
2700102,Água Branca,2017,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Outubro,4204
2700102,Água Branca,2017,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Setembro,4182
2700102,Água Branca,2017,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Abril,15726
2700102,Água Branca,2017,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Agosto,15828
2700102,Água Branca,2017,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Dezembro,15354
2700102,Água Branca,2017,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Fevereiro,15674
2700102,Água Branca,2017,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Janeiro,15682
2700102,Água Branca,2017,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Julho,15729
2700102,Água Branca,2017,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Junho,15733
2700102,Água Branca,2017,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Maio,15738
2700102,Água Branca,2017,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Março,15725
2700102,Água Branca,2017,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Novembro,15268
2700102,Água Branca,2017,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Outubro,15231
2700102,Água Branca,2017,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Setembro,15207
2700102,Água Branca,2018,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Abril,4280
2700102,Água Branca,2018,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Agosto,4195
2700102,Água Branca,2018,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Dezembro,4168
2700102,Água Branca,2018,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Fevereiro,4321
2700102,Água Branca,2018,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Janeiro,4289
2700102,Água Branca,2018,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Julho,4348
2700102,Água Branca,2018,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Junho,4339
2700102,Água Branca,2018,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Maio,4322
2700102,Água Branca,2018,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Março,4262
2700102,Água Branca,2018,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Novembro,4279
2700102,Água Branca,2018,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Outubro,4265
2700102,Água Branca,2018,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Setembro,4223
2700102,Água Branca,2018,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Abril,15212
2700102,Água Branca,2018,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Agosto,14781
2700102,Água Branca,2018,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Dezembro,14536
2700102,Água Branca,2018,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Fevereiro,15430
2700102,Água Branca,2018,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Janeiro,15401
2700102,Água Branca,2018,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Julho,15276
2700102,Água Branca,2018,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Junho,15294
2700102,Água Branca,2018,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Maio,15287
2700102,Água Branca,2018,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Março,15180
2700102,Água Branca,2018,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Novembro,14915
2700102,Água Branca,2018,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Outubro,14909
2700102,Água Branca,2018,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Setembro,14817
2700102,Água Branca,2019,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Abril,4198
2700102,Água Branca,2019,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Agosto,4315
2700102,Água Branca,2019,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Dezembro,4334
2700102,Água Branca,2019,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Fevereiro,4244
