_id,co_mun,no_mun,ano,variavel,pop_categoria,pop_subcategoria,valor
69,2700102,Água Branca,2004,População residente estimada,Por idade,De 70 a 74 anos,306
70,2700102,Água Branca,2004,População residente estimada,Por idade,De 75 a 79 anos,225
71,2700102,Água Branca,2004,População residente estimada,Por idade,De 80 anos ou mais,313
72,2700102,Água Branca,2004,População residente estimada,Por idade,Total,19461
73,2700102,Água Branca,2005,População residente estimada,Por idade,De 0 a 4 anos,2368
74,2700102,Água Branca,2005,População residente estimada,Por idade,De 10 a 14 anos,2221
75,2700102,Água Branca,2005,População residente estimada,Por idade,De 15 a 19 anos,2188
76,2700102,Água Branca,2005,População residente estimada,Por idade,De 20 a 24 anos,1856
77,2700102,Água Branca,2005,População residente estimada,Por idade,De 25 a 29 anos,1444
78,2700102,Água Branca,2005,População residente estimada,Por idade,De 30 a 34 anos,1127
79,2700102,Água Branca,2005,População residente estimada,Por idade,De 35 a 39 anos,1050
80,2700102,Água Branca,2005,População residente estimada,Por idade,De 40 a 44 anos,934
81,2700102,Água Branca,2005,População residente estimada,Por idade,De 45 a 49 anos,701
82,2700102,Água Branca,2005,População residente estimada,Por idade,De 5 a 9 anos,2448
83,2700102,Água Branca,2005,População residente estimada,Por idade,De 50 a 54 anos,657
84,2700102,Água Branca,2005,População residente estimada,Por idade,De 55 a 59 anos,645
85,2700102,Água Branca,2005,População residente estimada,Por idade,De 60 a 64 anos,596
86,2700102,Água Branca,2005,População residente estimada,Por idade,De 65 a 69 anos,444
87,2700102,Água Branca,2005,População residente estimada,Por idade,De 70 a 74 anos,313
88,2700102,Água Branca,2005,População residente estimada,Por idade,De 75 a 79 anos,220
89,2700102,Água Branca,2005,População residente estimada,Por idade,De 80 anos ou mais,322
90,2700102,Água Branca,2005,População residente estimada,Por idade,Total,19534
91,2700102,Água Branca,2006,População residente estimada,Por idade,De 0 a 4 anos,2298
92,2700102,Água Branca,2006,População residente estimada,Por idade,De 10 a 14 anos,2258
93,2700102,Água Branca,2006,População residente estimada,Por idade,De 15 a 19 anos,2160
94,2700102,Água Branca,2006,População residente estimada,Por idade,De 20 a 24 anos,1858
95,2700102,Água Branca,2006,População residente estimada,Por idade,De 25 a 29 anos,1454
96,2700102,Água Branca,2006,População residente estimada,Por idade,De 30 a 34 anos,1150
97,2700102,Água Branca,2006,População residente estimada,Por idade,De 35 a 39 anos,1063
98,2700102,Água Branca,2006,População residente estimada,Por idade,De 40 a 44 anos,956
99,2700102,Água Branca,2006,População residente estimada,Por idade,De 45 a 49 anos,741
100,2700102,Água Branca,2006,População residente estimada,Por idade,De 5 a 9 anos,2434
101,2700102,Água Branca,2006,População residente estimada,Por idade,De 50 a 54 anos,658
102,2700102,Água Branca,2006,População residente estimada,Por idade,De 55 a 59 anos,644
103,2700102,Água Branca,2006,População residente estimada,Por idade,De 60 a 64 anos,602
104,2700102,Água Branca,2006,População residente estimada,Por idade,De 65 a 69 anos,460
105,2700102,Água Branca,2006,População residente estimada,Por idade,De 70 a 74 anos,327
106,2700102,Água Branca,2006,População residente estimada,Por idade,De 75 a 79 anos,228
107,2700102,Água Branca,2006,População residente estimada,Por idade,De 80 anos ou mais,316
108,2700102,Água Branca,2006,População residente estimada,Por idade,Total,19607
109,2700102,Água Branca,2007,População residente estimada,Por idade,De 0 a 4 anos,2224
110,2700102,Água Branca,2007,População residente estimada,Por idade,De 10 a 14 anos,2297
111,2700102,Água Branca,2007,População residente estimada,Por idade,De 15 a 19 anos,2141
112,2700102,Água Branca,2007,População residente estimada,Por idade,De 20 a 24 anos,1847
113,2700102,Água Branca,2007,População residente estimada,Por idade,De 25 a 29 anos,1460
114,2700102,Água Branca,2007,População residente estimada,Por idade,De 30 a 34 anos,1178
115,2700102,Água Branca,2007,População residente estimada,Por idade,De 35 a 39 anos,1072
116,2700102,Água Branca,2007,População residente estimada,Por idade,De 40 a 44 anos,978
117,2700102,Água Branca,2007,População residente estimada,Por idade,De 45 a 49 anos,781
118,2700102,Água Branca,2007,População residente estimada,Por idade,De 5 a 9 anos,2414
119,2700102,Água Branca,2007,População residente estimada,Por idade,De 50 a 54 anos,659
120,2700102,Água Branca,2007,População residente estimada,Por idade,De 55 a 59 anos,645
121,2700102,Água Branca,2007,População residente estimada,Por idade,De 60 a 64 anos,609
122,2700102,Água Branca,2007,População residente estimada,Por idade,De 65 a 69 anos,478
123,2700102,Água Branca,2007,População residente estimada,Por idade,De 70 a 74 anos,342
124,2700102,Água Branca,2007,População residente estimada,Por idade,De 75 a 79 anos,236
125,2700102,Água Branca,2007,População residente estimada,Por idade,De 80 anos ou mais,311
126,2700102,Água Branca,2007,População residente estimada,Por idade,Total,19672
127,2700102,Água Branca,2008,População residente estimada,Por idade,De 0 a 4 anos,2160
128,2700102,Água Branca,2008,População residente estimada,Por idade,De 10 a 14 anos,2345
129,2700102,Água Branca,2008,População residente estimada,Por idade,De 15 a 19 anos,2131
130,2700102,Água Branca,2008,População residente estimada,Por idade,De 20 a 24 anos,1824
131,2700102,Água Branca,2008,População residente estimada,Por idade,De 25 a 29 anos,1461
132,2700102,Água Branca,2008,População residente estimada,Por idade,De 30 a 34 anos,1208
133,2700102,Água Branca,2008,População residente estimada,Por idade,De 35 a 39 anos,1081
134,2700102,Água Branca,2008,População residente estimada,Por idade,De 40 a 44 anos,1001
135,2700102,Água Branca,2008,População residente estimada,Por idade,De 45 a 49 anos,821
136,2700102,Água Branca,2008,População residente estimada,Por idade,De 5 a 9 anos,2374
137,2700102,Água Branca,2008,População residente estimada,Por idade,De 50 a 54 anos,661
138,2700102,Água Branca,2008,População residente estimada,Por idade,De 55 a 59 anos,644
139,2700102,Água Branca,2008,População residente estimada,Por idade,De 60 a 64 anos,618
140,2700102,Água Branca,2008,População residente estimada,Por idade,De 65 a 69 anos,497
141,2700102,Água Branca,2008,População residente estimada,Por idade,De 70 a 74 anos,357
142,2700102,Água Branca,2008,População residente estimada,Por idade,De 75 a 79 anos,245
143,2700102,Água Branca,2008,População residente estimada,Por idade,De 80 anos ou mais,310
144,2700102,Água Branca,2008,População residente estimada,Por idade,Total,19738
145,2700102,Água Branca,2009,População residente estimada,Por idade,De 0 a 4 anos,2104
146,2700102,Água Branca,2009,População residente estimada,Por idade,De 10 a 14 anos,2384
147,2700102,Água Branca,2009,População residente estimada,Por idade,De 15 a 19 anos,2135
148,2700102,Água Branca,2009,População residente estimada,Por idade,De 20 a 24 anos,1795
149,2700102,Água Branca,2009,População residente estimada,Por idade,De 25 a 29 anos,1458
150,2700102,Água Branca,2009,População residente estimada,Por idade,De 30 a 34 anos,1237
151,2700102,Água Branca,2009,População residente estimada,Por idade,De 35 a 39 anos,1094
152,2700102,Água Branca,2009,População residente estimada,Por idade,De 40 a 44 anos,1019
153,2700102,Água Branca,2009,População residente estimada,Por idade,De 45 a 49 anos,862
154,2700102,Água Branca,2009,População residente estimada,Por idade,De 5 a 9 anos,2318
155,2700102,Água Branca,2009,População residente estimada,Por idade,De 50 a 54 anos,666
156,2700102,Água Branca,2009,População residente estimada,Por idade,De 55 a 59 anos,644
157,2700102,Água Branca,2009,População residente estimada,Por idade,De 60 a 64 anos,627
158,2700102,Água Branca,2009,População residente estimada,Por idade,De 65 a 69 anos,517
159,2700102,Água Branca,2009,População residente estimada,Por idade,De 70 a 74 anos,373
160,2700102,Água Branca,2009,População residente estimada,Por idade,De 75 a 79 anos,255
161,2700102,Água Branca,2009,População residente estimada,Por idade,De 80 anos ou mais,311
162,2700102,Água Branca,2009,População residente estimada,Por idade,Total,19799
163,2700102,Água Branca,2010,População residente estimada,Por idade,De 0 a 4 anos,2047
164,2700102,Água Branca,2010,População residente estimada,Por idade,De 10 a 14 anos,2406
165,2700102,Água Branca,2010,População residente estimada,Por idade,De 15 a 19 anos,2154
166,2700102,Água Branca,2010,População residente estimada,Por idade,De 20 a 24 anos,1757
167,2700102,Água Branca,2010,População residente estimada,Por idade,De 25 a 29 anos,1453
168,2700102,Água Branca,2010,População residente estimada,Por idade,De 30 a 34 anos,1261
169,2700102,Água Branca,2010,População residente estimada,Por idade,De 35 a 39 anos,1115
170,2700102,Água Branca,2010,População residente estimada,Por idade,De 40 a 44 anos,1032
