_id,co_reg_plan,no_reg_plan,ano,variavel,ensino_rede,ensino_tipo,valor
64,2701.0,Alto Sertão,2009,Matrícula,Privada,Ensino Fundamental,1212.0
65,2701.0,Alto Sertão,2009,Matrícula,Privada,Ensino Médio,344.0
66,2701.0,Alto Sertão,2009,Matrícula,Pública,Educação Infantil,5909.0
67,2701.0,Alto Sertão,2009,Matrícula,Pública,Educação Profissional,1035.0
68,2701.0,Alto Sertão,2009,Matrícula,Pública,Educação de Jovens e Adultos (EJA),7781.0
69,2701.0,Alto Sertão,2009,Matrícula,Pública,Ensino Fundamental,40765.0
70,2701.0,Alto Sertão,2009,Matrícula,Pública,Ensino Médio,6488.0
71,2701.0,Alto Sertão,2009,Matrícula,Total,Educação Infantil,6328.0
72,2701.0,Alto Sertão,2009,Matrícula,Total,Educação Profissional,1091.0
73,2701.0,Alto Sertão,2009,Matrícula,Total,Educação de Jovens e Adultos (EJA),7781.0
74,2701.0,Alto Sertão,2009,Matrícula,Total,Ensino Fundamental,41977.0
75,2701.0,Alto Sertão,2009,Matrícula,Total,Ensino Médio,6832.0
76,2701.0,Alto Sertão,2010,Matrícula,Estadual,Educação Infantil,65.0
77,2701.0,Alto Sertão,2010,Matrícula,Estadual,Educação Profissional,616.0
78,2701.0,Alto Sertão,2010,Matrícula,Estadual,Educação de Jovens e Adultos (EJA),717.0
79,2701.0,Alto Sertão,2010,Matrícula,Estadual,Ensino Fundamental,6307.0
80,2701.0,Alto Sertão,2010,Matrícula,Estadual,Ensino Médio,5650.0
81,2701.0,Alto Sertão,2010,Matrícula,Municipal,Educação Infantil,5937.0
82,2701.0,Alto Sertão,2010,Matrícula,Municipal,Educação Profissional,83.0
83,2701.0,Alto Sertão,2010,Matrícula,Municipal,Educação de Jovens e Adultos (EJA),7366.0
84,2701.0,Alto Sertão,2010,Matrícula,Municipal,Ensino Fundamental,32190.0
85,2701.0,Alto Sertão,2010,Matrícula,Municipal,Ensino Médio,612.0
86,2701.0,Alto Sertão,2010,Matrícula,Privada,Educação Infantil,375.0
87,2701.0,Alto Sertão,2010,Matrícula,Privada,Educação Profissional,0.0
88,2701.0,Alto Sertão,2010,Matrícula,Privada,Educação de Jovens e Adultos (EJA),0.0
89,2701.0,Alto Sertão,2010,Matrícula,Privada,Ensino Fundamental,1294.0
90,2701.0,Alto Sertão,2010,Matrícula,Privada,Ensino Médio,349.0
91,2701.0,Alto Sertão,2010,Matrícula,Pública,Educação Infantil,6002.0
92,2701.0,Alto Sertão,2010,Matrícula,Pública,Educação Profissional,699.0
93,2701.0,Alto Sertão,2010,Matrícula,Pública,Educação de Jovens e Adultos (EJA),8083.0
94,2701.0,Alto Sertão,2010,Matrícula,Pública,Ensino Fundamental,38497.0
95,2701.0,Alto Sertão,2010,Matrícula,Pública,Ensino Médio,6262.0
96,2701.0,Alto Sertão,2010,Matrícula,Total,Educação Infantil,6377.0
97,2701.0,Alto Sertão,2010,Matrícula,Total,Educação Profissional,699.0
98,2701.0,Alto Sertão,2010,Matrícula,Total,Educação de Jovens e Adultos (EJA),8083.0
99,2701.0,Alto Sertão,2010,Matrícula,Total,Ensino Fundamental,39791.0
100,2701.0,Alto Sertão,2010,Matrícula,Total,Ensino Médio,6611.0
101,2701.0,Alto Sertão,2011,Matrícula,Estadual,Educação Infantil,81.0
102,2701.0,Alto Sertão,2011,Matrícula,Estadual,Educação Profissional,619.0
103,2701.0,Alto Sertão,2011,Matrícula,Estadual,Educação de Jovens e Adultos (EJA),1440.0
104,2701.0,Alto Sertão,2011,Matrícula,Estadual,Ensino Fundamental,5574.0
105,2701.0,Alto Sertão,2011,Matrícula,Estadual,Ensino Médio,6338.0
106,2701.0,Alto Sertão,2011,Matrícula,Federal,Educação Infantil,0.0
107,2701.0,Alto Sertão,2011,Matrícula,Federal,Educação Profissional,302.0
108,2701.0,Alto Sertão,2011,Matrícula,Federal,Educação de Jovens e Adultos (EJA),0.0
109,2701.0,Alto Sertão,2011,Matrícula,Federal,Ensino Fundamental,0.0
110,2701.0,Alto Sertão,2011,Matrícula,Federal,Ensino Médio,302.0
111,2701.0,Alto Sertão,2011,Matrícula,Municipal,Educação Infantil,6119.0
